Temperature,Humidity,Soil_pH,Soil_Moisture,Fertile
29,67.5,5.67,61.45,0
29,66.88,5.66,60.54,0
29,66.25,6.47,63.27,1
29,66.25,6.02,61.09,1
29,66.25,6.46,62.74,1
29,66.88,5.66,60.65,0
29,66.88,5.66,60.79,0
29,66.88,5.67,60.79,0
29,66.25,6.02,60.91,1
29,66.25,6.31,80,1
29,67.5,5.69,61.02,0
28,65.63,6.43,63.02,1
30,63.75,5.95,61.58,1
28,69.38,5.65,60.31,0
30,61.25,6.37,62.26,1
28,55,5.85,60.05,0
30,71.25,6.04,61.79,1
29,58.75,5.92,61.02,1
28,63.75,5.74,60.14,0
30,56.88,6.29,61.91,1
28,61.25,5.87,60.09,0
29,62.5,6.11,61.35,1
30,60,6.34,62.51,1
28,66.25,5.83,60,0
29,59.38,5.97,60.79,1
28,62.19,5.77,59.95,0
30,67.5,6.24,62.05,1
29,55.63,5.89,60.31,1
28,57.5,5.81,59.89,0
30,54.38,6.2,61.69,1
28,60.63,5.82,60.05,0
30,63.13,6.08,61.58,1
29,68.44,6.15,61.91,1
28,56.25,5.78,59.84,0
30,57.19,6.26,62.37,1
28,61.88,5.84,60.03,0
29,64.38,6.02,61.02,1
30,53.13,6.36,62.62,1
28,70,5.75,59.92,0
30,53.75,6.32,62.26,1
29,66.88,6.06,61.67,1
28,68.75,5.72,59.79,0
30,66.25,6.39,63.02,1
29,51.88,5.88,60.21,0
28,56.88,5.8,59.89,0
30,52.5,6.41,62.51,1
29,54.38,5.9,60.54,1
28,60,5.8,59.95,0
30,65.63,6.32,62.05,1
29,61.25,5.96,60.94,1
28,59.38,5.82,59.92,0
30,62.19,6.06,61.69,1
28,58.75,5.83,60,0
29,63.75,6.1,61.91,1
30,55.63,6.24,62.26,1
28,62.5,5.79,59.84,0
30,60.63,6.26,62.37,1
29,66.25,5.95,61.58,1
28,55,5.86,60.05,0
30,71.25,6.03,61.79,1
29,58.75,5.92,61.02,1
28,63.75,5.74,60.14,0
30,56.88,6.28,61.91,1
28,61.25,5.87,60.09,0
29,62.5,6.12,61.35,1
30,60,6.35,62.51,1
28,66.25,5.83,60,0
29,59.38,6.02,60.79,1
28,62.19,5.77,59.95,0
30,67.5,6.24,62.05,1
29,55.63,5.88,60.31,1
28,57.5,5.81,59.89,0
30,54.38,6.21,61.69,1
28,60.63,5.82,60.05,0
30,63.13,6.09,61.58,1
29,68.44,6.16,61.91,1
28,56.25,5.78,59.84,0
30,57.19,6.27,62.37,1
28,61.88,5.84,60.03,0
29,64.38,6.02,61.02,1
30,53.13,6.37,62.62,1
28,70,5.75,59.92,0
30,53.75,6.33,62.26,1
29,66.88,6.06,61.67,1
28,68.75,5.72,59.79,0
30,66.25,6.4,63.02,1
29,51.88,5.88,60.21,0
28,56.88,5.8,59.89,0
30,52.5,6.42,62.51,1
29,54.38,5.91,60.54,1
28,60,5.8,59.95,0
30,65.63,6.32,62.05,1
29,61.25,5.96,60.94,1
28,59.38,5.81,59.92,0
30,62.19,6.06,61.69,1
28,58.75,5.83,60,0
